"region","Native","Exotic"
Auckland,692666,2104
Bay of Plenty,542385,70804
Canterbury,858413,5779011
Chatham Islands,154198,11407
Gisborne,701188,422660
Hawke's Bay,2907700,1456090
Manawatu/Whanganui,2915665,295871 
Marlborough,612537,799456
Multi-Region,125068,0
Northland,774207,774207
Otago,562525,1878403
Southland,218622,737376
Taranaki,455229,207922
Tasman,83060,833303
Waikato,500295,130218
Wellington,388836,523691
West Coast,4151,26430
