"date","Afforestation","Deforestation"
1990,14678,-1876
1991,14328,-1876
1992,44972,-1876
1993,54940,-1876
1994,86953,-1876
1995,65815,-1876
1996,74534,-1876
1997,57263,-2084
1998,46852,-2084
1999,36988,-2084
2000,32006,-4389
2001,21989,-4208
2002,21989,-4208
2003,20719,-7271
2004,13020,-10727
2005,9267,-17422
2006,6339,-20495
2007,6343,-28752
2008,2383,-6124
2009,5063,-12296
2010,6966,-9274
2011,13669,-6970
2012,13637,-7948
2013,4462,-8453
